CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.070.698/0001-11;2024-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.01.14;Constituição de Caução CCEE;-6248.0000000000;N
00.070.698/0001-11;2024-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.01.15;Liberação de Caução CCEE;211.0000000000;N
00.070.698/0001-11;2024-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.01.15;Liberação de Caução CCEE;6367.0000000000;N
00.070.698/0001-11;2024-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.01.18;Outras Despesas;-9216.0000000000;N
00.070.698/0001-11;2024-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.01.18;Outras Despesas;-10075.0000000000;N
00.070.698/0001-11;2024-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.01.19;Caixa Líquido Proveniente das (Usado nas) Atividades Operacionais Descontinuadas;0.0000000000;N
00.070.698/0001-11;2024-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.01.19;Caixa Líquido Proveniente das (Usado nas) Atividades Operacionais Descontinuadas;0.0000000000;N
00.070.698/0001-11;2024-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.02;Caixa Líquido Atividades de Investimento;-36508.0000000000;S
00.070.698/0001-11;2024-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.02;Caixa Líquido Atividades de Investimento;-3499.0000000000;S
00.070.698/0001-11;2024-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.02.01;Aquisição de Ativos Financeiros da Concessão, Intangíveis e Imobilizados;-36508.0000000000;N
00.070.698/0001-11;2024-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.02.01;Aquisição de Ativos Financeiros da Concessão, Intangíveis e Imobilizados;-4149.0000000000;N
00.070.698/0001-11;2024-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.02.02;Recebimento de Dividendos;0.0000000000;N
00.070.698/0001-11;2024-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.02.02;Recebimento de Dividendos;0.0000000000;N
00.070.698/0001-11;2024-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.02.03;Aquisição de Investimentos;0.0000000000;N
